"exp_index","subject","block","accuracy","probability_10","observer","outcome","evaluation"
"exp1",14,"actor",0.4,100,NA,NA,NA
"exp1",14,"actor",0.5,100,NA,NA,NA
"exp1",14,"actor",0.6,100,NA,NA,NA
"exp1",14,"actor",0.7,100,NA,NA,NA
"exp1",14,"actor",0.8,100,NA,NA,NA
"exp1",14,"actor",0.9,100,NA,NA,NA
"exp1",14,"actor",1,100,NA,NA,NA
"exp1",15,"actor",0,50,NA,NA,NA
"exp1",15,"actor",0.1,50,NA,NA,NA
"exp1",15,"actor",0.2,0,NA,NA,NA
"exp1",15,"actor",0.3,0,NA,NA,NA
"exp1",15,"actor",0.4,0,NA,NA,NA
"exp1",15,"actor",0.5,0,NA,NA,NA
"exp1",15,"actor",0.6,0,NA,NA,NA
"exp1",15,"actor",0.7,0,NA,NA,NA
"exp1",15,"actor",0.8,100,NA,NA,NA
"exp1",15,"actor",0.9,100,NA,NA,NA
"exp1",15,"actor",1,100,NA,NA,NA
"exp1",16,"actor",0,88,NA,NA,NA
"exp1",16,"actor",0.1,86,NA,NA,NA
"exp1",16,"actor",0.2,87,NA,NA,NA
"exp1",16,"actor",0.3,80,NA,NA,NA
"exp1",16,"actor",0.4,0,NA,NA,NA
"exp1",16,"actor",0.5,0,NA,NA,NA
"exp1",16,"actor",0.6,0,NA,NA,NA
"exp1",16,"actor",0.7,0,NA,NA,NA
"exp1",16,"actor",0.8,100,NA,NA,NA
"exp1",16,"actor",0.9,100,NA,NA,NA
"exp1",16,"actor",1,100,NA,NA,NA
"exp1",17,"actor",0,100,NA,NA,NA
"exp1",17,"actor",0.1,84,NA,NA,NA
"exp1",17,"actor",0.2,97,NA,NA,NA
"exp1",17,"actor",0.3,85,NA,NA,NA
"exp1",17,"actor",0.4,19,NA,NA,NA
"exp1",17,"actor",0.5,22,NA,NA,NA
"exp1",17,"actor",0.6,29,NA,NA,NA
"exp1",17,"actor",0.7,25,NA,NA,NA
"exp1",17,"actor",0.8,65,NA,NA,NA
"exp1",17,"actor",0.9,81,NA,NA,NA
"exp1",17,"actor",1,100,NA,NA,NA
"exp1",18,"actor",0,50,NA,NA,NA
"exp1",18,"actor",0.1,72,NA,NA,NA
"exp1",18,"actor",0.2,19,NA,NA,NA
"exp1",18,"actor",0.3,70,NA,NA,NA
"exp1",18,"actor",0.4,19,NA,NA,NA
"exp1",18,"actor",0.5,1,NA,NA,NA
"exp1",18,"actor",0.6,1,NA,NA,NA
"exp1",18,"actor",0.7,25,NA,NA,NA
"exp1",18,"actor",0.8,1,NA,NA,NA
"exp1",18,"actor",0.9,0,NA,NA,NA
"exp1",18,"actor",1,0,NA,NA,NA
"exp1",19,"actor",0,8,NA,NA,NA
"exp1",19,"actor",0.1,16,NA,NA,NA
"exp1",19,"actor",0.2,23,NA,NA,NA
"exp1",19,"actor",0.3,38,NA,NA,NA
"exp1",19,"actor",0.4,35,NA,NA,NA
"exp1",19,"actor",0.5,20,NA,NA,NA
"exp1",19,"actor",0.6,14,NA,NA,NA
"exp1",19,"actor",0.7,85,NA,NA,NA
"exp1",19,"actor",0.8,88,NA,NA,NA
"exp1",19,"actor",0.9,22,NA,NA,NA
"exp1",19,"actor",1,26,NA,NA,NA
"exp1",20,"actor",0,50,NA,NA,NA
"exp1",20,"actor",0.1,50,NA,NA,NA
"exp1",20,"actor",0.2,50,NA,NA,NA
"exp1",20,"actor",0.3,50,NA,NA,NA
"exp1",20,"actor",0.4,0,NA,NA,NA
"exp1",20,"actor",0.5,0,NA,NA,NA
"exp1",20,"actor",0.6,0,NA,NA,NA
"exp1",20,"actor",0.7,0,NA,NA,NA
"exp1",20,"actor",0.8,0,NA,NA,NA
"exp1",20,"actor",0.9,0,NA,NA,NA
"exp1",20,"actor",1,0,NA,NA,NA
"exp1",21,"actor",0,0,NA,NA,NA
"exp1",21,"actor",0.1,0,NA,NA,NA
"exp1",21,"actor",0.2,0,NA,NA,NA
"exp1",21,"actor",0.3,0,NA,NA,NA
"exp1",21,"actor",0.4,0,NA,NA,NA
"exp1",21,"actor",0.5,0,NA,NA,NA
"exp1",21,"actor",0.6,0,NA,NA,NA
"exp1",21,"actor",0.7,0,NA,NA,NA
"exp1",21,"actor",0.8,56,NA,NA,NA
"exp1",21,"actor",0.9,100,NA,NA,NA
"exp1",21,"actor",1,100,NA,NA,NA
"exp1",22,"actor",0,100,NA,NA,NA
"exp1",22,"actor",0.1,100,NA,NA,NA
"exp1",22,"actor",0.2,100,NA,NA,NA
"exp1",22,"actor",0.3,100,NA,NA,NA
"exp1",22,"actor",0.4,0,NA,NA,NA
"exp1",22,"actor",0.5,0,NA,NA,NA
"exp1",22,"actor",0.6,0,NA,NA,NA
"exp1",22,"actor",0.7,0,NA,NA,NA
"exp1",22,"actor",0.8,100,NA,NA,NA
"exp1",22,"actor",0.9,100,NA,NA,NA
"exp1",22,"actor",1,0,NA,NA,NA
"exp1",23,"actor",0,77,NA,NA,NA
"exp1",23,"actor",0.1,67,NA,NA,NA
"exp1",23,"actor",0.2,50,NA,NA,NA
"exp1",23,"actor",0.3,47,NA,NA,NA
"exp1",23,"actor",0.4,1,NA,NA,NA
"exp1",23,"actor",0.5,8,NA,NA,NA
"exp1",23,"actor",0.6,5,NA,NA,NA
"exp1",23,"actor",0.7,7,NA,NA,NA
"exp1",23,"actor",0.8,93,NA,NA,NA
"exp1",23,"actor",0.9,84,NA,NA,NA
"exp1",23,"actor",1,92,NA,NA,NA
"exp1",24,"actor",0,100,NA,NA,NA
"exp1",24,"actor",0.1,100,NA,NA,NA
"exp1",24,"actor",0.2,100,NA,NA,NA
"exp1",24,"actor",0.3,100,NA,NA,NA
"exp1",24,"actor",0.4,0,NA,NA,NA
"exp1",24,"actor",0.5,0,NA,NA,NA
"exp1",24,"actor",0.6,0,NA,NA,NA
"exp1",24,"actor",0.7,0,NA,NA,NA
"exp1",24,"actor",0.8,100,NA,NA,NA
"exp1",24,"actor",0.9,100,NA,NA,NA
"exp1",24,"actor",1,100,NA,NA,NA
"exp1",25,"actor",0,100,NA,NA,NA
"exp1",25,"actor",0.1,96,NA,NA,NA
"exp1",25,"actor",0.2,81,NA,NA,NA
"exp1",25,"actor",0.3,78,NA,NA,NA
"exp1",25,"actor",0.4,39,NA,NA,NA
"exp1",25,"actor",0.5,51,NA,NA,NA
"exp1",25,"actor",0.6,21,NA,NA,NA
"exp1",25,"actor",0.7,22,NA,NA,NA
"exp1",25,"actor",0.8,11,NA,NA,NA
"exp1",25,"actor",0.9,13,NA,NA,NA
"exp1",25,"actor",1,0,NA,NA,NA
"exp1",26,"actor",0,50,NA,NA,NA
"exp1",26,"actor",0.1,46,NA,NA,NA
"exp1",26,"actor",0.2,82,NA,NA,NA
"exp1",26,"actor",0.3,21,NA,NA,NA
"exp1",26,"actor",0.4,21,NA,NA,NA
"exp1",26,"actor",0.5,55,NA,NA,NA
"exp1",26,"actor",0.6,10,NA,NA,NA
"exp1",26,"actor",0.7,26,NA,NA,NA
"exp1",26,"actor",0.8,92,NA,NA,NA
"exp1",26,"actor",0.9,91,NA,NA,NA
"exp1",26,"actor",1,100,NA,NA,NA
"exp1",27,"actor",0,100,NA,NA,NA
"exp1",27,"actor",0.1,100,NA,NA,NA
"exp1",27,"actor",0.2,100,NA,NA,NA
"exp1",27,"actor",0.3,100,NA,NA,NA
"exp1",27,"actor",0.4,0,NA,NA,NA
"exp1",27,"actor",0.5,0,NA,NA,NA
"exp1",27,"actor",0.6,0,NA,NA,NA
"exp1",27,"actor",0.7,0,NA,NA,NA
"exp1",27,"actor",0.8,100,NA,NA,NA
"exp1",27,"actor",0.9,100,NA,NA,NA
"exp1",27,"actor",1,100,NA,NA,NA
"exp1",28,"actor",0,77,NA,NA,NA
"exp1",28,"actor",0.1,27,NA,NA,NA
"exp1",28,"actor",0.2,12,NA,NA,NA
"exp1",28,"actor",0.3,33,NA,NA,NA
"exp1",28,"actor",0.4,7,NA,NA,NA
"exp1",28,"actor",0.5,10,NA,NA,NA
"exp1",28,"actor",0.6,16,NA,NA,NA
"exp1",28,"actor",0.7,13,NA,NA,NA
"exp1",28,"actor",0.8,35,NA,NA,NA
"exp1",28,"actor",0.9,35,NA,NA,NA
"exp1",28,"actor",1,29,NA,NA,NA
"exp1",29,"actor",0,99,NA,NA,NA
"exp1",29,"actor",0.1,95,NA,NA,NA
"exp1",29,"actor",0.2,93,NA,NA,NA
"exp1",29,"actor",0.3,91,NA,NA,NA
"exp1",29,"actor",0.4,93,NA,NA,NA
"exp1",29,"actor",0.5,95,NA,NA,NA
"exp1",29,"actor",0.6,93,NA,NA,NA
"exp1",29,"actor",0.7,93,NA,NA,NA
"exp1",29,"actor",0.8,91,NA,NA,NA
"exp1",29,"actor",0.9,92,NA,NA,NA
"exp1",29,"actor",1,92,NA,NA,NA
"exp1",30,"actor",0,100,NA,NA,NA
"exp1",30,"actor",0.1,100,NA,NA,NA
"exp1",30,"actor",0.2,100,NA,NA,NA
"exp1",30,"actor",0.3,100,NA,NA,NA
"exp1",30,"actor",0.4,0,NA,NA,NA
"exp1",30,"actor",0.5,0,NA,NA,NA
"exp1",30,"actor",0.6,0,NA,NA,NA
"exp1",30,"actor",0.7,0,NA,NA,NA
"exp1",30,"actor",0.8,100,NA,NA,NA
"exp1",30,"actor",0.9,100,NA,NA,NA
"exp1",30,"actor",1,100,NA,NA,NA
"exp1",31,"actor",0,100,NA,NA,NA
"exp1",31,"actor",0.1,100,NA,NA,NA
"exp1",31,"actor",0.2,100,NA,NA,NA
"exp1",31,"actor",0.3,100,NA,NA,NA
"exp1",31,"actor",0.4,100,NA,NA,NA
"exp1",31,"actor",0.5,100,NA,NA,NA
"exp1",31,"actor",0.6,100,NA,NA,NA
"exp1",31,"actor",0.7,100,NA,NA,NA
"exp1",31,"actor",0.8,100,NA,NA,NA
"exp1",31,"actor",0.9,100,NA,NA,NA
"exp1",31,"actor",1,100,NA,NA,NA
"exp1",32,"actor",0,99,NA,NA,NA
"exp1",32,"actor",0.1,100,NA,NA,NA
"exp1",32,"actor",0.2,86,NA,NA,NA
"exp1",32,"actor",0.3,10,NA,NA,NA
"exp1",32,"actor",0.4,3,NA,NA,NA
"exp1",32,"actor",0.5,0,NA,NA,NA
"exp1",32,"actor",0.6,2,NA,NA,NA
"exp1",32,"actor",0.7,29,NA,NA,NA
"exp1",32,"actor",0.8,37,NA,NA,NA
"exp1",32,"actor",0.9,88,NA,NA,NA
"exp1",32,"actor",1,96,NA,NA,NA
"exp1",33,"actor",0,50,NA,NA,NA
"exp1",33,"actor",0.1,50,NA,NA,NA
"exp1",33,"actor",0.2,50,NA,NA,NA
"exp1",33,"actor",0.3,50,NA,NA,NA
"exp1",33,"actor",0.4,3,NA,NA,NA
"exp1",33,"actor",0.5,2,NA,NA,NA
"exp1",33,"actor",0.6,3,NA,NA,NA
"exp1",33,"actor",0.7,2,NA,NA,NA
"exp1",33,"actor",0.8,90,NA,NA,NA
"exp1",33,"actor",0.9,96,NA,NA,NA
"exp1",33,"actor",1,91,NA,NA,NA
"exp1",34,"actor",0,100,NA,NA,NA
"exp1",34,"actor",0.1,100,NA,NA,NA
"exp1",34,"actor",0.2,100,NA,NA,NA
"exp1",34,"actor",0.3,100,NA,NA,NA
"exp1",34,"actor",0.4,0,NA,NA,NA
"exp1",34,"actor",0.5,0,NA,NA,NA
"exp1",34,"actor",0.6,0,NA,NA,NA
"exp1",34,"actor",0.7,0,NA,NA,NA
"exp1",34,"actor",0.8,100,NA,NA,NA
"exp1",34,"actor",0.9,100,NA,NA,NA
"exp1",34,"actor",1,100,NA,NA,NA
"exp1",35,"actor",0,100,NA,NA,NA
"exp1",35,"actor",0.1,100,NA,NA,NA
"exp1",35,"actor",0.2,94,NA,NA,NA
"exp1",35,"actor",0.3,87,NA,NA,NA
"exp1",35,"actor",0.4,20,NA,NA,NA
"exp1",35,"actor",0.5,18,NA,NA,NA
"exp1",35,"actor",0.6,26,NA,NA,NA
"exp1",35,"actor",0.7,39,NA,NA,NA
"exp1",35,"actor",0.8,81,NA,NA,NA
"exp1",35,"actor",0.9,94,NA,NA,NA
"exp1",35,"actor",1,93,NA,NA,NA
"exp1",36,"actor",0,100,NA,NA,NA
"exp1",36,"actor",0.1,100,NA,NA,NA
"exp1",36,"actor",0.2,100,NA,NA,NA
"exp1",36,"actor",0.3,100,NA,NA,NA
"exp1",36,"actor",0.4,0,NA,NA,NA
"exp1",36,"actor",0.5,0,NA,NA,NA
"exp1",36,"actor",0.6,0,NA,NA,NA
"exp1",36,"actor",0.7,0,NA,NA,NA
"exp1",36,"actor",0.8,100,NA,NA,NA
"exp1",36,"actor",0.9,100,NA,NA,NA
"exp1",36,"actor",1,100,NA,NA,NA
"exp1",37,"actor",0,100,NA,NA,NA
"exp1",37,"actor",0.1,100,NA,NA,NA
"exp1",37,"actor",0.2,100,NA,NA,NA
"exp1",37,"actor",0.3,100,NA,NA,NA
"exp1",37,"actor",0.4,69,NA,NA,NA
"exp1",37,"actor",0.5,17,NA,NA,NA
"exp1",37,"actor",0.6,16,NA,NA,NA
"exp1",37,"actor",0.7,5,NA,NA,NA
"exp1",37,"actor",0.8,16,NA,NA,NA
"exp1",37,"actor",0.9,95,NA,NA,NA
"exp1",37,"actor",1,100,NA,NA,NA
"exp1",38,"actor",0,100,NA,NA,NA
"exp1",38,"actor",0.1,94,NA,NA,NA
"exp1",38,"actor",0.2,100,NA,NA,NA
"exp1",38,"actor",0.3,83,NA,NA,NA
"exp1",38,"actor",0.4,25,NA,NA,NA
"exp1",38,"actor",0.5,9,NA,NA,NA
"exp1",38,"actor",0.6,36,NA,NA,NA
"exp1",38,"actor",0.7,18,NA,NA,NA
"exp1",38,"actor",0.8,9,NA,NA,NA
"exp1",38,"actor",0.9,0,NA,NA,NA
"exp1",38,"actor",1,0,NA,NA,NA
"exp1",39,"actor",0,100,NA,NA,NA
"exp1",39,"actor",0.1,100,NA,NA,NA
"exp1",39,"actor",0.2,100,NA,NA,NA
"exp1",39,"actor",0.3,100,NA,NA,NA
"exp1",39,"actor",0.4,18,NA,NA,NA
"exp1",39,"actor",0.5,18,NA,NA,NA
